ID;Cliente;RAMA_ACTIVIDAD;DESCRIPCION_RAMA;Efectivo_y_Equiv;ACTIVOS_CORRIENTES;Otros_Act_Corr;Otros_Act_No_Corr;ACTIVOS_NO_CORRIENTES;ACTIVO;Credito_Mutuo;Oblig_emit_por_corr;Arrend_Financiero_CxP;Imp_Renta_CxP;PASIVOS_CORRIENTES;Credito_Mutuo_No_corr;Oblig_emit_porc_No_corr;Arrend_Financiero_CxP_No_Corr;Pas_Imp_Renta_Dif_No_Corr;PASIVOS_NO_CORRIENTES;PASIVO;Capital;Futuras_capitalizaciones;PATRIMONIO;PART_TRABAJADORES;IMPUESTO_CAUSADO;Ganancias_Act_Disc;INGRESOS;G_Perdidas_Act_Disc;COSTOS;GASTOS;CxC_DxC_Corr;Otros_Act_Fin_Corr;Arren_Fin_CxC;Imp_bruto_const;Activos_x_Imp_corr;Inventarios;Act_No_Corr_Venta;Act_Biologicos_corr;Pagos_anticipos;Propiedad_Planta_Equ;Act_Intang;Prop_Inversion;Act_Biologicos_No_Corr;Act_Para_Rec_Minerales;Inversiones_No_Corr;CxC_DxC_No_Corr;Otros_Act_Fin_No_Corr;Arren_Fin_CxC_No_Corr;Act_Imp_Diferido;CxP_DxP_Corr;Obli_inst_fin_corr;Otros_Pas_fin_Corr;Benf_Emp_Corr;Prov_Corr;Pas_Ing_Dif_Corr;Otros_Pas_Corr;CxP_DxP_No_Corr;Int_Financieras_No_Corr;Otros_Pas_Fin_No_Corr;Benf_Emp_No_Corr;Prov_No_Corr;Pas_Ing_Dif_No_Corr;Otros_Pas_No_Corr;Cap_Sus_No_Pagado;Reservas;Res_Acum;Otros_Res_Int_Acum;Ing_Act_Ord;Otros_Ing;Ing_Finc;VAL_ING;Costo_de_Venta;C_Gastos_Benf_Empl;C_Gastos_Dep;C_Gastos_Amort;C_Perdidas_deterioro;C_Gasto_Provis;C_Perdida_Venta_Act;C_Otros_Gastos;VAL_COSTOS;G_Costo_de_Venta;G_Gastos_Benf_Empl;G_Gastos_Dep;G_Gastos_Amort;G_Perdidas_deterioro;G_Gasto_Provis;G_Perdida_Venta_Act;G_Otros_Gastos;G_Gastos_Financieros;VAL_GASTOS;T_COMPRAS_IMPORT;COSTO_NOMINA;GASTO_NOMINA;VAL_ACT_CORRIENTE;VAL_ACT_NO_CORR;VAL_PAS_CORR;VAL_PAS_NO_CORR;VAL_PATRIMONIO
1;Si;G;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.;14117834,2;54617757,8;0;1756219,88;26814344,5;81432102,3;0;0;1576015,4;299848,12;30813080,9;0;0;2338398,52;21056,13;14596311,8;45409392,7;17100004;0;36022709,6;772600,74;0;0;0;0;0;0;27436940,35;1764179,62;0;0;91498,22;11067076,67;0;0;140228,77;14381686,24;3698403,39;1217051,37;0;0;5271821;17800,11;0;0;471362,49;20716400,57;5922849,35;0;1760287,93;537679,55;0;0;0;6620593,04;0;5616264,1;0;0;0;0;12004989,4;6216582,31;701133,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-,0300000011920929;,0199999958276749;-,0200000032782555;,0100000016391277;0
2;Si;C;INDUSTRIAS MANUFACTURERAS.;1699491,59;27231693,4;0;0;32338755;59570448,5;0;0;0;0;20120422,3;0;0;0;0;14596758;34717180,3;16683800;400;24853268,2;603540,76;0;0;0;0;0;0;16095012,34;0;0;0;916161,35;6565478,83;1380919,75;0;574629,58;24218128,87;756733,52;3085935,3;0;0;0;4082462,33;0;0;195495,02;13259278,19;6284155,45;192224,97;150307,22;234456,45;0;0;0;12963846,1;0;1632911,88;0;0;0;0;2363950,85;5784715,18;20402,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-,0400000028312206;-,0399999991059303;,0199999995529652;,0199999995529652;0
3;Si;G;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.;13312326,3;62152533,3;64277,09;0;15905319,6;78057852,8;0;0;0;0;9965207,05;0;0;0;222087,11;27597835,4;37563042,5;7029352;0;40494810,4;0;0;0;0;0;0;0;20014356,6;0;0;0;2383762,51;26289924,85;0;0;87886,02;10700172,96;947403,71;0;0;0;0;3512000;0;0;745742,89;8165272,59;0;0;603995,37;1195939,09;0;0;0;24055870,4;0;3070479,24;0;0;249398,68;0;3648871,13;29190306,23;626281,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-,0699999928474426;,0400000046938658;0;-,0300000011920929;-,00999999791383743
4;Si;C;INDUSTRIAS MANUFACTURERAS.;690572,85;9723424,67;0;25800;5650292,81;15373717,5;0;0;0;0;2415155,75;0;0;0;0;2926078,96;5341234,71;2339000;0;10032482,8;103555,82;0;0;0;0;0;0;4244536,36;0;0;0;407908,27;4337815,53;0;0;42591,66;5563948,35;0;0;0;0;0;0;0;0;60544,46;1401959,51;498619,68;0;221078,81;0;0;293497,75;0;993114,57;0;1819739,74;0;0;113224,65;0;1157038,59;4595793,12;1940651,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,86264514923096E-009;0;0;,0300000011920929
5;Si;C;INDUSTRIAS MANUFACTURERAS.;921318,64;21743701,9;232117,89;90973,43;30953667,6;52697369,5;0;0;0;0;19307720,3;0;0;0;299623,96;17302670,7;36610391;6572000;0;16086978,5;454324,89;0;0;0;0;0;0;13090114,95;0;0;0;722585,65;6611736,62;0;0;165828,16;30120450,32;518740,3;0;0;0;232;137555,12;0;0;85716,4;7896538,61;10428011,78;0;753344,11;9429,14;106978,61;113418,05;3328554,75;12386171,9;0;1288320,12;0;0;0;0;535971,22;9449244,07;-470236,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-,0100000016391277;,0300000123679638;0;-,0300000011920929;-,0300000011920929
6;Si;G;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.;230189,26;4831240,61;0;0;503296,64;5334537,25;0;0;0;0;2611260,53;0;0;0;0;1608236,58;4219497,11;405000;0;1115040,14;0;0;0;0;0;0;0;2446930,22;0;0;0;110592,04;2043529,09;0;0;0;453662,57;0;0;0;0;0;0;0;0;49634,07;2566138,04;0;0;45122,49;0;0;0;1467003,17;0;0;141233,41;0;0;0;0;50343,08;572545,31;87151,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,31322574615479E-010;5,82076609134674E-011;-4,65661287307739E-010;2,3283064365387E-010;-2,3283064365387E-010
7;Si;H;TRANSPORTE Y ALMACENAMIENTO.;2008119,06;7368569,98;269920,41;63961,28;4137754,74;11506324,7;0;0;0;23960,91;4205869,34;250000;0;0;356574,76;5443746,68;9649616,02;410365;0;1856708,7;180044,59;0;0;0;0;0;0;4880019,95;0;0;0;154267,17;0;0;0;56243,39;2156544,25;0;0;0;0;1188799,63;0;0;0;728449,58;1432001,64;0;370166,17;1801598,47;272619,09;18456,4;287066,66;0;0;0;3780128,93;0;0;1057042,99;0;333638,24;811763,53;300941,93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Si;K;ACTIVIDADES FINANCIERAS Y DE SEGUROS.;2036250,51;2281064,19;0;0;453224,99;2734289,18;0;206099,55;69616,03;0;534700,96;0;0;212894,28;0;470004,79;1004705,75;1000000;0;1729583,43;137965,07;0;0;0;0;0;0;231915,32;0;0;0;0;0;0;0;12898,36;348592,58;19738,44;0;0;0;0;63966,22;0;0;20927,75;43699,33;0;0;215286,05;0;0;0;0;0;0;254010,51;0;0;3100;0;75632,59;649128,23;4822,61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5,82076609134674E-011;0
9;Si;H;TRANSPORTE Y ALMACENAMIENTO.;7580682,89;11486895,6;0;0;155812;11642707,6;0;0;0;586608,72;1738716,95;0;0;0;0;1758802,57;3497519,52;25000;0;8145188,07;483193,1;0;0;0;0;0;0;3359767,97;0;0;0;545515,13;0;0;0;929,6;8862,38;0;0;0;0;3801;0;0;0;143148,62;327226,28;0;0;814881,95;10000;0;0;0;0;0;1758802,57;0;0;0;0;5000;7975267,72;139920,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,00999999977648258;0;0;2,3283064365387E-010;0
10;Si;G;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.;885618,03;3604915,95;0;0;767198,18;4372114,13;0;0;0;75506;1400637,95;0;0;0;0;371332,03;1771969,98;6000;0;2600144,15;46492,27;0;0;0;0;0;0;308752,17;0;0;0;104222,24;2296856,29;0;0;9467,22;535632,48;179698,96;0;0;0;0;20950,64;0;0;30916,1;687039,15;488177,21;0;129650,49;0;20265,1;0;5058,65;0;0;366273,38;0;0;0;0;13243,34;2560830,37;20070,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,16415321826935E-010;0;0;0
